ITEM ID,TIME ID,TIME M ID,TIME Y ID,STATE ID,PARTY ID,FABRIC KGS,FABRIC MTRS,SOLD KGS,SOLD MTRS,RATE,AMOUNT,O U P
397,10/2019,10,1,2,9,1392.7,19450,530.875,7500,17,127500,861.825
397,11/2019,11,1,2,9,453.4,6583,2109.004,30000,59,442500,-1655.604
397,12/2019,12,1,2,9,718.4,9950,961.689,13500,28,189000,-243.289
397,1/2020,1,2,2,9,,,970.11,13500,32.5,220500,-970.11
397,3/2020,3,2,17,82,,,319.33,4500,33,74250,-319.33
397,5/2020,5,2,17,82,425.6,5800,2719.241,38250,50.5,639000,-2293.641
397,6/2020,6,2,2,9,412.85,5700,713.386,9750,36,175500,-300.536
397,8/2020,8,2,2,9,635.7,9050,585.65,8250,36,148500,50.05
397,9/2020,9,2,2,9,2351.7,33750,1783.8,25500,72,459000,567.9
397,10/2020,10,2,2,9,861.8,12692,1504.078,21750,36,391500,-642.278
397,11/2020,11,2,,,340,4858,,,,,340
397,12/2020,12,2,2,9,1447.3,21341,1287.438,18750,36,337500,159.862
397,1/2021,1,3,,,183.3,2705,,,,,183.3
397,3/2021,3,3,2,9,1617,22800,1048,15000,36,270000,569
397,4/2021,4,3,17,82,240.9,3350,533.59,7500,36,135000,-292.69
397,5/2021,5,3,17,82,,,321.882,4500,36,81000,-321.882
397,8/2021,8,3,,,813.4,11800,,,,,813.4
397,9/2021,9,3,,,1775.8,25700,,,,,1775.8
397,10/2021,10,3,,,636.9,9132,,,,,636.9
397,3/2022,3,4,2,9,,,3904.813,56250,102,956250,-3904.813
397,4/2019,4,1,2,9,,,1770.13,24750,75.5,348000,-1770.13
397,4/2022,4,4,,,491.1,7050,,,,,491.1
397,6/2022,6,4,,,103.9,1533,,,,,103.9
397,7/2022,7,4,,,388,5795,,,,,388
397,8/2022,8,4,,,664.4,9400,,,,,664.4
397,9/2022,9,4,,,1153.1,16150,,,,,1153.1
397,5/2019,5,1,2,9,,,2172.01,30000,39,390000,-2172.01
397,2/2023,2,5,2,9,,,2008.07,28500,82.5,474000,-2008.07
397,3/2023,3,5,17,81,,,264.165,3750,16,60000,-264.165
397,7/2019,7,1,7,38,115.7,1630,3.6,50,18,900,112.1
397,8/2019,8,1,,,2258.3,32250,,,,,2258.3
397,9/2019,9,1,,,2090.8,29325,,,,,2090.8
398,10/2019,10,1,9,58,,,144.05,1500,25,37500,-144.05
398,11/2019,11,1,9,58,,,141.7,1500,25,37500,-141.7
398,12/2019,12,1,2,9,281.6,3100,1035.68,11250,18,202500,-754.08
398,1/2020,1,2,9,58,1165.3,12700,902.24,9750,43,191250,263.06
398,2/2020,2,2,2,9,225.6,2550,884.49,9750,46,213750,-658.89
398,6/2020,6,2,9,58,291.6,3200,203.47,2250,50,56250,88.13
398,7/2020,7,2,9,58,63.6,700,136.32,1500,25,37500,-72.72
398,8/2020,8,2,,,609.4,6750,,,,,609.4
398,11/2020,11,2,2,9,,,681.17,7500,22,165000,-681.17
398,12/2020,12,2,2,9,731.9,8100,745.16,8250,66,181500,-13.26
398,1/2021,1,3,2,9,2188.5,24118,1570.775,17250,88,379500,617.725
398,2/2021,2,3,2,9,935.8,10270,1232.65,13500,94,308250,-296.85
398,3/2021,3,3,2,9,544.4,6000,550.54,6000,23,138000,-6.14
398,4/2021,4,3,,,650.42,7250,,,,,650.42
398,5/2021,5,3,9,58,44.4,500,808.42,9000,48,210000,-764.02
398,6/2021,6,3,9,58,,,136.58,1500,25,37500,-136.58
398,7/2021,7,3,,,806.6,9000,,,,,806.6
398,8/2021,8,3,7,38,947.3,10650,4.46,50,25,1250,942.84
398,9/2021,9,3,,,783.7,8900,,,,,783.7
398,10/2021,10,3,2,9,152,1770,1326.41,15000,46,345000,-1174.41
398,1/2022,1,4,2,9,345.4,4000,1703.54,19200,69,441600,-1358.14
398,2/2022,2,4,2,9,2440.6,27447,1065.91,12000,46,276000,1374.69
398,3/2022,3,4,2,9,1181.2,13000,2020.28,22500,69,517500,-839.08
398,4/2022,4,4,2,9,1398.6,15600,1351.3,15000,46,345000,47.3
398,5/2022,5,4,9,58,618.1,6850,183.15,2025,23,46575,434.95
398,6/2022,6,4,9,58,339.7,3765,179.7,2025,23,46575,160
398,7/2022,7,4,,,958,10815,,,,,958
398,8/2022,8,4,,,153.2,1712,,,,,153.2
398,11/2022,11,4,2,9,956.3,10650,1891.31,21000,46,483000,-935.01
398,12/2022,12,4,9,58,639.4,6902,172.81,2025,23,46575,466.59
398,1/2023,1,5,2,9,1118.6,12385,676.63,7500,22,165000,441.97
398,5/2019,5,1,1,7,,,209.1,2250,25,56250,-209.1
398,2/2023,2,5,2,9,297.1,3350,1375.45,15000,44,330000,-1078.35
398,3/2023,3,5,,,64.7,710,,,,,64.7
398,6/2019,6,1,1,7,,,497.17,5250,50,131250,-497.17
399,3/2022,3,4,14,75,,,21.88,200,28,5600,-21.88
399,4/2019,4,1,9,49,349.8,3330,349.8,3300,26,85800,0
4,9/2021,9,3,14,76,,,275,275,144,39600,-275
4,10/2021,10,3,14,76,,,404,404,288.14,58197.56,-404
4,2/2022,2,4,7,28,,,1050.8,1119.8,140,147112,-1050.8
40,1/2020,1,2,4,11,,,60,600,25,15000,-60
40,7/2020,7,2,14,72,,,118.8,1200,17.5,25200,-118.8
40,10/2020,10,2,6,20,,,2.98,30,26,780,-2.98
40,3/2021,3,3,,,178.6,1800,,,,,178.6
40,4/2021,4,3,14,69,871.8,8790,11.935,120,25,3000,859.865
40,5/2021,5,3,7,23,1237.7,12390,1780.06,18000,21,378000,-542.36
40,6/2021,6,3,,,1339.6,13500,,,,,1339.6
40,7/2021,7,3,14,73,73.7,750,2647.29,26400,858,755040,-2573.59
40,8/2021,8,3,,,504,5130,,,,,504
40,9/2021,9,3,,,2894.5,28410,,,,,2894.5
40,10/2021,10,3,7,23,913.8,8790,3124.52,30750,46.66,668550,-2210.72
40,11/2021,11,3,,,1215.3,11670,,,,,1215.3
40,12/2021,12,3,6,19,1234.2,12150,75.5,750,25,18750,1158.7
40,1/2022,1,4,,,145.6,1410,,,,,145.6
40,2/2022,2,4,14,72,161.4,1500,3424.2,33000,1522.26,892260,-3262.8
40,3/2022,3,4,,,847.9,8160,,,,,847.9
40,10/2022,10,4,,,57,540,,,,,57
40,12/2022,12,4,14,72,,,316.7,3000,19.13,70015.8,-316.7
40,3/2023,3,5,7,32,,,378.7,3600,773.72,92846.4,-378.7
400,10/2019,10,1,14,75,226.8,2000,221.47,2000,28,56000,5.33
401,10/2019,10,1,9,55,31,450,31,450,14,6300,0
